PANID,Combined_Pre_Tax_Income_of_HH,Family_Size,HH_RACE,Type_of_Residential_Possession,HH_AGE,HH_EDU,HH_OCC,Age_Group_Applied_to_Male_HH,Education_Level_Reached_by_Male_,Occupation_Code_of_Male_HH,Male_Working_Hour_Code,MALE_SMOKE,Age_Group_Applied_to_Female_HH,Education_Level_Reached_by_Femal,Occupation_Code_of_Female_HH,Female_Working_Hour_Code,FEM_SMOKE,Number_of_Dogs,Number_of_Cats,Children_Group_Code,Marital_Status,Number_of_TVs_Used_by_HH,Number_of_TVs_Hooked_to_Cable,HH_Head_Race__RACE2_,HH_Head_Race__RACE3_,Microwave_Owned_by_HH
1100016,3,3,1,2,6,3,10,6,2,10,4,0,6,3,10,4,0,0,0,8,2,3,3,1,1,1
1100032,6,2,1,2,5,7,6,7,9,11,7,.,5,7,6,3,0,0,1,3,1,2,1,1,1,1
1100057,10,2,1,2,6,6,4,6,4,10,4,0,6,6,4,3,0,1,0,8,2,3,3,1,1,1
1100180,11,2,1,2,5,5,1,5,6,6,3,1,5,5,1,3,0,1,1,8,2,2,2,1,1,1
1100198,5,2,1,2,6,5,10,6,5,10,4,0,6,5,10,4,0,0,1,8,2,2,2,1,1,.
1100214,7,1,1,2,6,5,4,7,9,11,7,.,6,5,4,3,0,1,2,8,3,4,4,1,1,1
1100248,1,1,1,2,6,4,13,7,9,11,7,.,6,4,13,1,0,0,0,8,4,2,2,1,1,1
1100255,4,1,1,2,6,4,13,7,9,11,7,.,6,4,13,5,0,0,0,8,4,5,4,1,1,1
1100321,3,1,1,2,6,3,10,7,9,11,7,.,6,3,10,4,0,0,0,8,4,1,1,1,1,1
1100354,9,2,1,2,5,6,13,6,7,1,2,0,5,6,13,1,0,0,0,8,2,3,3,1,1,1
1100412,2,1,1,2,6,4,10,7,9,11,7,.,6,4,10,4,0,0,0,8,4,1,1,1,1,1
1100479,7,2,1,2,6,6,10,6,5,10,4,0,6,6,10,4,0,1,0,8,2,3,3,1,1,1
1100503,6,2,1,2,6,4,13,6,6,13,1,0,6,4,13,1,0,0,0,8,2,3,3,1,1,1
1100545,10,4,1,2,5,4,2,5,3,2,3,0,5,4,2,3,0,0,0,8,2,5,3,1,1,1
1100560,8,2,1,2,5,6,9,5,7,7,3,0,5,6,9,2,0,0,1,8,2,2,1,.,5,1
1100685,11,2,1,2,5,6,1,6,6,10,4,0,5,6,1,3,0,0,0,8,2,3,3,1,1,1
1100743,11,2,1,2,5,6,4,5,6,7,3,1,5,6,4,3,0,0,0,8,2,5,5,1,1,1
1100750,6,2,1,2,5,6,10,6,6,10,4,1,5,6,10,4,1,0,1,8,2,2,2,1,1,1
1100784,1,1,3,1,5,6,13,7,9,11,7,.,5,6,13,1,0,0,0,8,3,4,4,97,1,1
1101055,10,2,1,2,6,5,10,6,5,10,4,0,6,5,10,4,0,0,1,8,2,2,2,1,1,1
1101089,6,3,1,2,6,4,10,6,4,10,4,0,6,4,10,4,1,0,0,8,2,2,2,1,1,1
1101147,5,4,1,2,6,3,10,7,9,11,7,.,6,3,10,4,0,0,0,8,4,4,4,1,1,1
1101162,10,2,1,2,6,8,10,6,8,10,4,0,6,8,10,4,0,0,0,8,2,3,3,1,1,1
1101238,5,2,1,2,6,4,4,6,4,10,4,0,6,4,4,2,0,0,0,8,2,2,2,1,1,1
1101253,9,3,1,2,5,4,13,5,5,13,1,0,5,4,13,1,0,0,1,8,2,3,3,2,2,1
1101279,6,2,1,2,6,3,10,6,5,10,4,0,6,3,10,4,0,0,0,8,2,3,3,1,1,1
1101337,5,1,1,2,6,6,10,7,9,11,7,.,6,6,10,4,0,0,0,8,4,2,2,1,1,1
1101386,1,1,1,2,6,4,10,7,9,11,7,.,6,4,10,4,0,1,0,8,4,2,2,1,1,1
1101402,7,1,1,2,6,6,10,7,9,11,7,.,6,6,10,4,0,0,0,8,4,3,2,1,1,1
1101477,6,1,1,2,6,7,10,7,9,11,7,.,6,7,10,4,1,1,0,8,3,3,3,1,1,1
1101519,7,3,1,2,5,4,10,5,4,10,4,0,5,4,10,4,0,0,0,2,2,5,5,1,1,1
