L5,SY,GE,VEND,ITEM,COLUPC,PRODUCT TYPE,PACKAGE,FLAVOR/SCENT,FAT CONTENT,CALORIE LEVEL,STYLE,TYPE OF YOGURT
AHAVA,7,2,20742,7011,7.22E+11,YOGURT,PLASTIC CUP,BLUEBERRY,LOW FAT,MISSING,KOSHER,PRESTIRRED
AHAVA,,3,70452,24101,37045224101,YOGURT,PLASTIC CUP,CHOCOLATE,REGULAR,MISSING,KOSHER,BLENDED
AHAVA,7,3,20742,7013,7.32E+11,YOGURT,PLASTIC CUP,CHERRY VANILLA,LOW FAT,MISSING,MISSING,FRUIT ON THE BOTTOM
AHAVA,7,2,20742,7012,7.22E+11,YOGURT,PLASTIC CUP,PLAIN,LOW FAT,MISSING,KOSHER,REGULAR
AHAVA,,3,70452,24102,37045224102,YOGURT,PLASTIC CUP,PLAIN,REGULAR,120 CALORIES,ALL NATURAL,REGULAR
AHAVA,,3,70452,24103,37045224103,YOGURT,PLASTIC CUP,STRAWBERRY,REGULAR,MISSING,KOSHER,BLENDED
MORNING SELECT,,1,20742,7011,12074207011,YOGURT,PLASTIC CUP,BLUEBERRY,LOW FAT,MISSING,MISSING,MISSING
MORNING SELECT,7,1,20742,7004,7.12E+11,YOGURT,PLASTIC CUP,BLUEBERRY,LOW FAT,MISSING,MISSING,BLENDED
MORNING SELECT,7,1,20742,7001,7.12E+11,YOGURT,PLASTIC CUP,COFFEE,LOW FAT,MISSING,MISSING,BLENDED
MORNING SELECT,,1,20742,7013,12074207013,YOGURT,PLASTIC CUP,CHOCOLATE,LOW FAT,MISSING,MISSING,BLENDED
MORNING SELECT,7,1,20742,7006,7.12E+11,YOGURT,PLASTIC CUP,CHERRY VANILLA,LOW FAT,MISSING,MISSING,BLENDED
MORNING SELECT,7,1,20742,44461,7.12E+11,YOGURT,PLASTIC CUP,PEACH,LOW FAT,MISSING,MISSING,BLENDED
MORNING SELECT,7,3,20742,7008,7.32E+11,YOGURT,PLASTIC CONTAINER,PLAIN,LOW FAT,MISSING,MISSING,MISSING
MORNING SELECT,7,3,20742,7010,7.32E+11,YOGURT,PLASTIC CUP,PLAIN,LOW FAT,MISSING,KOSHER,MISSING
